Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528
2021-12-04,4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182
2021-12-05,4119.628906,4246.923340,4040.217529,4198.322754,4198.322754,25533062707
2021-12-06,4199.000000,4375.520508,3930.806641,4358.737305,4358.737305,28229518513
2021-12-07,4358.586914,4428.589355,4264.323730,4315.061523,4315.061523,22366213354
2021-12-08,4311.674316,4453.112305,4234.537598,4439.357910,4439.357910,18704315119
2021-12-09,4433.024902,4482.313965,4078.844238,4119.815918,4119.815918,22296131874
2021-12-10,4113.588379,4227.111816,3897.767578,3908.496094,3908.496094,28014595631
2021-12-11,3909.667725,4095.648438,3846.054443,4084.452393,4084.452393,19131502454
2021-12-12,4084.811279,4173.608887,3993.055908,4134.453125,4134.453125,14057603914
2021-12-13,4136.359863,4145.955078,3680.609131,3784.226807,3784.226807,23999841386
2021-12-14,3782.822754,3866.633789,3700.104736,3745.440430,3745.440430,23836759957
2021-12-15,3862.251465,4086.372803,3664.719971,4018.388672,4018.388672,26411188833
2021-12-16,4020.415039,4110.368652,3956.057129,3962.469727,3962.469727,19825531254
2021-12-17,3959.012451,3992.792480,3711.424561,3879.486572,3879.486572,23143541098
2021-12-18,3880.291504,3993.829834,3774.614990,3960.860107,3960.860107,19530895889
2021-12-19,3960.872314,4018.658447,3894.398682,3922.592529,3922.592529,16167785597
2021-12-20,3923.695801,3980.098633,3759.403320,3933.844482,3933.844482,21589690675
2021-12-21,3938.463867,4058.821289,3918.837891,4020.260010,4020.260010,16388555198
2021-12-22,4018.695801,4073.791504,3947.690186,3982.099609,3982.099609,13921756199
2021-12-23,3981.961670,4149.026855,3897.234375,4108.015625,4108.015625,18007273742
2021-12-24,4111.345215,4134.106445,4029.064453,4047.982910,4047.982910,12769090623
2021-12-25,4049.781982,4138.564941,4027.927002,4093.281006,4093.281006,10894785525
2021-12-26,4094.151611,4105.023926,4013.026367,4067.328125,4067.328125,11197244172
2021-12-27,4064.746338,4126.001465,4033.492432,4037.547607,4037.547607,11424360002
2021-12-28,4037.538086,4037.538086,3769.280029,3800.893066,3800.893066,17299472803
2021-12-29,3797.436279,3827.981934,3612.795898,3628.531738,3628.531738,15722555672
2021-12-30,3632.219727,3767.559814,3595.204834,3713.852051,3713.852051,12925377999
2021-12-31,3713.430176,3807.288818,3636.869873,3682.632813,3682.632813,14157285268
2022-01-01,3683.047119,3769.917969,3682.286621,3769.697021,3769.697021,9776191466
2022-01-02,3769.298340,3836.161865,3727.357422,3829.564941,3829.564941,9881471548
2022-01-03,3829.535645,3836.198730,3698.047607,3761.380371,3761.380371,12080777893
2022-01-04,3761.361572,3876.785156,3723.349854,3794.056641,3794.056641,14030925983
2022-01-05,3794.269043,3842.059814,3456.745361,3550.386963,3550.386963,18061338502
2022-01-06,3549.708984,3549.708984,3335.376709,3418.408203,3418.408203,24293791313
2022-01-07,3417.837891,3420.461914,3117.381348,3193.210449,3193.210449,24494179209
2022-01-08,3193.502441,3240.304443,3020.880859,3091.972656,3091.972656,16037732700
2022-01-09,3091.696289,3206.790771,3075.911377,3157.751465,3157.751465,12334683863
2022-01-10,3157.570557,3177.213379,2947.683594,3083.097900,3083.097900,19535744145
2022-01-11,3082.990967,3247.511963,3061.140625,3238.111572,3238.111572,15211447193
2022-01-12,3238.449951,3401.219971,3216.718018,3372.258301,3372.258301,16662871689
2022-01-13,3372.104980,3396.969727,3247.917480,3248.288574,3248.288574,15294466275
2022-01-14,3248.648682,3330.766113,3203.823730,3310.001465,3310.001465,13562957230
2022-01-15,3309.844238,3364.537842,3278.670898,3330.530762,3330.530762,9619999078
2022-01-16,3330.387207,3376.401123,3291.563721,3350.921875,3350.921875,9505934874
2022-01-17,3350.947266,3355.819336,3157.224121,3212.304932,3212.304932,12344309617
2022-01-18,3212.287598,3236.016113,3096.123535,3164.025146,3164.025146,13024154091
2022-01-19,3163.850342,3171.158447,3055.212402,3095.825928,3095.825928,13187424144
2022-01-20,3095.271729,3265.336914,3000.908203,3001.120117,3001.120117,10645922764
2022-01-21,3002.956787,3029.081055,2496.812988,2557.931641,2557.931641,26796291874
2022-01-22,2561.145264,2615.247314,2330.247314,2405.181152,2405.181152,27369692036
2022-01-23,2406.924316,2542.144775,2381.515137,2535.039063,2535.039063,16481489511
2022-01-24,2535.891113,2537.208496,2172.301270,2440.352295,2440.352295,28220804648
2022-01-25,2440.393555,2498.507080,2359.384766,2455.935059,2455.935059,16179776932
2022-01-26,2455.579102,2705.784180,2417.683105,2468.030273,2468.030273,21229909340
2022-01-27,2467.188477,2510.451660,2328.452148,2423.001221,2423.001221,16126522783
2022-01-28,2421.646973,2548.778564,2367.833740,2547.092041,2547.092041,14666227351
2022-01-29,2546.590576,2627.609375,2526.989746,2597.084717,2597.084717,11172062661
2022-01-30,2598.564941,2631.408447,2550.460938,2603.466553,2603.466553,9501221177
2022-01-31,2603.263428,2697.735352,2489.072266,2688.278809,2688.278809,13778234614
2022-02-01,2687.898926,2802.315430,2682.621826,2792.117188,2792.117188,13194846235
2022-02-02,2791.958984,2802.212158,2630.120361,2682.854004,2682.854004,13876301217
2022-02-03,2682.226074,2712.482666,2587.783447,2679.162598,2679.162598,12755505065
2022-02-04,2681.057617,2983.586914,2675.443848,2983.586914,2983.586914,18987223729
2022-02-05,2984.446045,3054.130127,2966.781006,3014.648193,3014.648193,13102093957
2022-02-06,3014.959717,3061.261230,2965.429932,3057.476074,3057.476074,9466018022
2022-02-07,3057.422119,3182.528320,3002.927002,3142.470703,3142.470703,15197063785
2022-02-08,3143.008545,3219.472656,3038.377930,3122.608643,3122.608643,17136080906
2022-02-09,3121.182617,3263.155762,3063.160156,3239.457031,3239.457031,13951308490
2022-02-10,3240.113037,3271.316162,3070.378174,3077.482178,3077.482178,18629485080
2022-02-11,3077.413086,3127.450684,2888.707764,2927.383545,2927.383545,16043881065
2022-02-12,2927.386475,2980.079346,2870.177002,2917.362793,2917.362793,11254355757
2022-02-13,2916.789551,2947.776611,2845.397705,2883.463379,2883.463379,9054963563
2022-02-14,2880.187744,2957.963623,2840.257568,2933.479004,2933.479004,12164552172
2022-02-15,2933.729004,3185.520752,2917.857178,3179.877197,3179.877197,13921257873
2022-02-16,3180.446777,3181.616943,3055.168213,3127.830078,3127.830078,12352406833
2022-02-17,3126.858398,3154.615234,2861.852051,2881.481934,2881.481934,15860206214
2022-02-18,2884.340576,2937.308594,2761.643311,2785.727539,2785.727539,15748173433
2022-02-19,2784.872803,2826.347900,2707.378418,2763.701172,2763.701172,9774183169
2022-02-20,2763.756592,2763.756592,2585.946289,2628.648438,2628.648438,11641437834
2022-02-21,2627.665527,2752.458496,2568.254395,2573.816162,2573.816162,18646392740
2022-02-22,2572.898682,2648.916748,2510.678711,2639.299316,2639.299316,16360200507
2022-02-23,2639.447021,2741.368408,2587.412842,2590.359619,2590.359619,13382637240
2022-02-24,2588.166260,2689.047607,2308.914795,2598.067139,2598.067139,29312342666
2022-02-25,2598.436279,2821.972412,2579.208008,2764.535645,2764.535645,17208902048
2022-02-26,2764.989502,2849.424072,2745.009033,2781.111816,2781.111816,11724648351
2022-02-27,2780.504395,2831.125488,2581.615723,2621.801758,2621.801758,16150857254
2022-02-28,2621.172119,2929.180420,2586.388184,2919.201172,2919.201172,19266124733
2022-03-01,2919.775879,3029.651611,2868.938965,2972.485107,2972.485107,18757425786
2022-03-02,2972.471924,3026.868164,2919.943115,2950.118408,2950.118408,16636517503
2022-03-03,2950.156738,2964.673340,2797.319336,2834.468994,2834.468994,13091199728
2022-03-04,2834.987305,2835.176270,2587.748291,2617.156006,2617.156006,14496939024
2022-03-05,2618.473633,2679.102539,2596.989990,2664.831055,2664.831055,8072368396
2022-03-06,2664.943604,2673.637207,2555.037354,2555.037354,2555.037354,8872976607
2022-03-07,2555.297607,2639.943115,2455.593750,2497.771240,2497.771240,14594098731
2022-03-08,2497.721436,2618.166016,2489.755127,2576.747559,2576.747559,13922922903
2022-03-09,2577.165283,2761.796387,2573.655273,2729.783447,2729.783447,14173665398
2022-03-10,2729.116455,2729.116455,2566.193115,2608.048584,2608.048584,13292477213
2022-03-11,2608.271240,2664.558594,2534.688232,2559.562988,2559.562988,12382419582
2022-03-12,2559.660645,2606.438721,2559.126953,2574.754150,2574.754150,6532996574
2022-03-13,2573.488037,2594.549805,2503.885254,2518.944580,2518.944580,8632000379
2022-03-14,2518.486328,2604.034424,2505.299316,2590.696045,2590.696045,11244398839
2022-03-15,2590.668945,2662.329590,2515.765869,2620.149658,2620.149658,12861105614
2022-03-16,2620.028564,2781.307129,2610.764404,2772.055664,2772.055664,17915109769
2022-03-17,2771.964111,2826.160645,2751.560791,2814.854492,2814.854492,12685265194
2022-03-18,2814.434570,2973.616211,2774.855713,2945.343018,2945.343018,15830879093
2022-03-19,2944.721680,2979.987061,2910.802246,2946.257080,2946.257080,11576463120
2022-03-20,2946.547607,2956.965576,2826.107422,2860.459229,2860.459229,12684727326
2022-03-21,2860.103271,2954.556641,2838.250488,2897.976563,2897.976563,15206116098
2022-03-22,2897.774170,3040.382813,2892.544434,2973.131104,2973.131104,16830539230
2022-03-23,2973.145020,3036.752197,2933.306641,3031.067139,3031.067139,16008767658
2022-03-24,3031.060791,3118.387695,3012.326660,3108.062012,3108.062012,18070503166
2022-03-25,3108.448975,3183.958008,3087.490723,3106.671387,3106.671387,17030503831
